date,rainfall,gwl,api
04/03/2023,0,10.11,23.36
05/03/2023,0,10.18,21.09
06/03/2023,0,10.16,19.04
07/03/2023,0,10.37,17.0
08/03/2023,0,10.16,14.96
09/03/2023,0,10.32,12.91
10/03/2023,0,10.29,10.86
11/03/2023,0,10.4,7.93
12/03/2023,0,10.31,5.88
13/03/2023,0,10.38,5.61
14/03/2023,0,10.23,5.41
15/03/2023,0,10.43,5.13
16/03/2023,0,10.41,5.01
17/03/2023,0,10.5,4.89
18/03/2023,0,10.54,4.77
19/03/2023,6,10.41,10.71
20/03/2023,0,10.43,10.52
21/03/2023,0,10.61,10.33
22/03/2023,0,10.71,10.14
23/03/2023,0,10.64,9.96
24/03/2023,0,10.77,9.77
25/03/2023,0,10.85,9.58
26/03/2023,0,10.79,9.39
27/03/2023,0,10.87,9.2
28/03/2023,0,10.86,9.01
29/03/2023,0,10.91,8.82
30/03/2023,0,11.21,8.63
31/03/2023,0,10.99,8.44
01/04/2023,0,11.01,8.26
02/04/2023,0,11.11,8.07
03/04/2023,0,11.14,7.88
04/04/2023,0,11.21,7.69
05/04/2023,0,11.26,7.5
06/04/2023,0,11.32,7.31
07/04/2023,0,11.27,7.12
08/04/2023,3,11.24,9.97
09/04/2023,0,11.42,9.74
10/04/2023,0,11.37,9.52
11/04/2023,4,11.4,13.34
12/04/2023,0,11.48,13.08
13/04/2023,0,11.49,12.81
14/04/2023,0,11.42,12.54
15/04/2023,0,11.48,12.28
16/04/2023,0,11.55,12.01
17/04/2023,0,11.57,11.74
18/04/2023,0,11.58,11.48
19/04/2023,0,11.6,11.21
20/04/2023,0,11.75,10.94
21/04/2023,0,11.68,10.68
22/04/2023,0,11.68,10.41
23/04/2023,0,11.57,10.14
24/04/2023,0,11.67,9.88
25/04/2023,0,11.64,9.49
26/04/2023,0,11.73,9.34
27/04/2023,35,11.47,44.59
28/04/2023,5,11.44,49.11
29/04/2023,106,11.1,155.7
30/04/2023,8,10.97,162.02
